"ID","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
"646",0,0,0,0,0,0.045,4.08,0,0.036,0,0,0.201,0,0,0,0,0,0,2.04,0,0,0,0,2.04,0.244,0,0,0,0.22,0,0,0.078,0.008,0,0,0,0,0,0,0,0,0.25,0,0.237,0,0,0,0,0,0,0,0.421,0.126,0,4.181,26,46,1
"3365",0,0,0,0,0,0,0,0,0.036,0,0,0.062,0,0,0.224,0,0,0,0,0,0,0.011,0,0,0.244,0,0,0,0.087,0,0,0.078,0.164,0,0,0,2.32,0,0,0,0,0,0,0.237,0,0,0,0.152,0,0,0,0.022,0.126,0,1.375,6,44,0
"2992",0,0,0,0,0,0.224,0,0,0.036,0,0,0.615,0,0,0.008,0,0,0,0.76,0,1.53,0,0,0,11.004,0,0,0,0.218,0,0,0.078,0,0,0,0,0.76,0,0,0,0,0.137,0.76,0.237,0,0,0,0.086,0.377,0,0.094,0,0.126,0,4.807,31,274,0
"3885",0,0.19,0.59,0,0.19,0,0,0,0.226,0.59,0.39,0.417,0,0.19,0.006,0,0,0.636,2.79,0,1.99,0,0,0,2.034,0.19,0.59,0,0.185,0,0.59,0.268,0.78,0.19,0.39,0,0,0,0,0,0,0,0,0.237,0,0,0.203,0.004,0,0,0.018,0,0.126,0,3.716,47,472,0
"818",0.23,0.34,0.58,0,0.46,0.233,0.11,0.23,0.036,0.93,0,0.672,0,0.23,0.455,0,0.11,0,3.72,0.46,1.74,0,0,0.81,0.244,0,0,1.04,0.032,0,0,0.078,0.169,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0.075,0,0,0.46,0,0.376,0.182,0.018,4.47,74,675,1
"2262",0.18,0.18,0.18,0,0.37,0,0,0.37,0.036,0.18,0,0.712,0,0,0,0,0,0,0.92,0,0,0,0,0,0.244,0,0,0,0,0,0,0.078,0,0,0.55,0,0.55,0,0.18,0,0,0.487,0,0.237,0.74,1.48,0.29,0.095,0.116,0,0.029,0.184,0.155,0,3.455,24,387,0
"2872",0,0,0,0,0,0.055,0,0,0.036,0,0,0.062,0.48,0,0,0,0,0,0,0,0,0.059,0,0,2.424,0,0,0,0,0,0,0.078,0.145,0,0,0,0.24,0,0,0,0,0,0,0.237,0.24,0,0.067,0,0.067,0,0,0,0.126,0,1.98,59,204,0
"3403",0,0,0,0,0,0,0,1.23,0.036,0,0,0,0,0,0.21,0,0,0.456,3.7,0,2.46,0.189,0,0,0.244,0,0,0,0.557,0,0,0.078,0,0,1.23,0,0,0,0,0,1.23,0.132,0,0.237,0,0,0.226,0.549,0,0,0,0.121,0.126,0,1.3,3,26,0
"2123",0,0.33,0.16,0,1.15,0.327,0.16,0,0.036,1.32,0,0,0,0.16,0.155,0,0,0,2.8,0,2.31,0,0.33,0,0.244,0,0,0,0,0,0,0.078,0,0,0.16,0,0.49,0,0,0,0.99,0.159,0,0.237,0.33,0,0.126,0.189,0,0,0,0.23,0.202,0.025,3.401,37,364,0
"2035",0,0,0,0,0,0.179,0,0,0.036,0,0,0.141,0,0,0.203,0,0,0,0,0,0,0.191,0,0,2.464,2.22,0,0,0,0,0,0.078,0.123,0,0,0,0,0,0,0,0,0.187,0,0.237,2.22,0,0,0.177,0,0,0,0.049,0.126,0,1.75,5,21,0
